This file was created using the 202002 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 INV portfolios in Emerging_Markets.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
199805  ,-6.38  ,-4.08  ,-5.73 ,-13.14 ,-11.30 ,-10.05
199806  ,-7.81  ,-5.33 ,-10.86 ,-11.04  ,-9.76 ,-10.88
199807   ,1.38   ,1.44  ,-0.75  ,-0.58   ,4.31   ,2.77
199808 ,-17.17 ,-17.88 ,-19.76 ,-22.58 ,-27.23 ,-25.50
199809   ,2.32   ,0.11  ,-0.71   ,5.21   ,4.28   ,6.40
199810   ,4.20   ,2.85   ,1.76   ,9.22   ,9.42   ,9.62
199811   ,7.99   ,7.35   ,7.64   ,3.37   ,7.61   ,6.73
199812  ,-1.05   ,1.15  ,-1.78  ,-2.62  ,-2.09  ,-0.97
199901  ,-2.72  ,-3.81  ,-6.45  ,-0.62  ,-0.17  ,-3.55
199902   ,0.08  ,-0.87  ,-1.71   ,1.32  ,-0.59   ,0.45
199903   ,7.50   ,9.58   ,8.59   ,9.48  ,10.15   ,8.99
199904  ,13.45  ,12.83   ,9.12  ,13.72   ,8.91  ,12.83
199905   ,5.14   ,6.76   ,4.32   ,0.47   ,1.27  ,-0.26
199906  ,12.35  ,12.27  ,12.46   ,7.19   ,9.11  ,15.73
199907   ,2.84   ,0.89  ,-4.20   ,1.72  ,-2.86  ,-3.89
199908   ,8.60   ,3.99   ,1.37   ,4.70   ,2.95  ,-0.05
199909   ,0.62  ,-2.54  ,-4.29  ,-2.90  ,-4.20  ,-2.57
199910   ,5.32   ,2.98   ,0.85   ,2.51   ,2.96   ,4.19
199911   ,6.87   ,6.13   ,6.65  ,14.31   ,7.56   ,5.45
199912   ,0.56   ,3.11   ,8.28  ,12.01  ,12.33  ,13.72
200001   ,3.84   ,5.09   ,7.14  ,-0.75   ,0.81   ,0.83
200002   ,1.14  ,-1.89   ,3.65   ,7.70  ,-0.90   ,3.17
200003  ,-0.79   ,1.69   ,1.88   ,0.92  ,-1.11   ,2.17
200004 ,-12.67  ,-9.81  ,-8.48 ,-10.99 ,-10.35 ,-12.35
200005  ,-0.82  ,-3.73  ,-4.41  ,-2.19  ,-1.18  ,-4.21
200006  ,-2.83  ,-2.11  ,-1.91   ,5.68   ,0.49   ,2.14
200007  ,-2.67  ,-1.61  ,-5.86  ,-2.01  ,-6.15  ,-4.89
200008  ,-1.87  ,-0.98  ,-1.34  ,-0.09  ,-0.53   ,2.17
200009  ,-7.75  ,-7.09  ,-9.79  ,-6.70  ,-9.13 ,-12.05
200010  ,-9.20  ,-8.63 ,-10.67  ,-7.45 ,-10.02  ,-7.61
200011  ,-6.88  ,-6.90  ,-7.41  ,-6.61  ,-7.60 ,-11.46
200012  ,-1.49  ,-2.62  ,-4.17   ,2.51   ,3.12  ,-0.24
200101   ,8.44   ,9.44   ,9.42  ,11.16  ,11.32  ,15.83
200102   ,0.88  ,-1.44  ,-1.03  ,-2.31  ,-7.28  ,-8.89
200103  ,-4.39  ,-4.90  ,-4.51  ,-8.15  ,-7.69  ,-9.89
200104  ,-0.97   ,1.30   ,1.01   ,5.00   ,4.57   ,4.01
200105   ,0.39   ,2.31   ,2.17   ,3.43   ,0.50  ,-0.20
200106   ,0.18  ,-0.29  ,-1.89  ,-1.02  ,-1.79  ,-3.33
200107  ,-5.30  ,-6.40  ,-6.90  ,-7.66  ,-6.05  ,-7.24
200108   ,0.68  ,-0.64  ,-2.34   ,1.25  ,-0.39  ,-4.17
200109 ,-13.64 ,-13.72 ,-13.75 ,-12.86 ,-13.65 ,-17.05
