This file was created using the 202002 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 INV portfolios in Emerging_Markets.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
201806  ,-6.16  ,-6.51  ,-8.24  ,-4.80  ,-4.72  ,-2.77
201807   ,0.26   ,0.33  ,-0.40   ,3.62   ,3.30  ,-0.05
201808  ,-2.87  ,-3.12  ,-4.12  ,-2.73  ,-1.66  ,-3.26
201809  ,-2.52  ,-2.91  ,-3.32   ,1.52   ,0.60  ,-4.62
201810  ,-8.31  ,-8.75 ,-10.22  ,-6.15  ,-7.89 ,-11.32
201811   ,3.79   ,4.46   ,3.75   ,2.52   ,3.46   ,7.35
201812  ,-0.94  ,-1.05  ,-1.10  ,-1.82  ,-1.02  ,-3.83
201901   ,5.00   ,6.31   ,5.05   ,8.47   ,6.12   ,9.23
201902   ,0.80   ,1.05   ,1.42  ,-0.38   ,0.39   ,0.54
201903   ,0.56   ,1.48   ,1.66  ,-1.13   ,0.95   ,2.56
201904   ,1.04   ,0.52   ,0.65   ,0.49   ,2.03   ,2.55
201905  ,-4.23  ,-4.47  ,-4.41  ,-5.29  ,-3.90  ,-9.96
201906   ,4.42   ,3.69   ,4.02   ,5.46   ,5.17   ,6.69
201907  ,-2.45  ,-2.38  ,-1.94  ,-1.86  ,-2.21  ,-0.37
201908  ,-4.13  ,-4.40  ,-4.67  ,-4.56  ,-4.95  ,-3.63
201909   ,1.44   ,1.71   ,2.30   ,1.46   ,3.21   ,1.16
201910   ,2.88   ,2.14   ,3.01   ,2.83   ,4.86   ,3.83
201911  ,-1.73  ,-1.21  ,-1.90  ,-1.50  ,-0.91   ,1.95
201912   ,5.91   ,6.35   ,6.44   ,6.46   ,7.03   ,7.36
202001  ,-3.18  ,-2.85  ,-1.80  ,-5.05  ,-5.90  ,-2.75
202002  ,-6.33  ,-5.26  ,-4.97  ,-6.29  ,-6.58  ,-3.50



  Average Equal Weighted Returns -- Monthly
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
199207   ,4.82   ,4.30   ,0.16  ,-1.65  ,-0.47   ,0.16
199208  ,-1.23  ,-2.74  ,-0.34  ,-1.34  ,-2.00  ,-1.30
199209   ,1.52   ,1.59   ,2.82   ,0.18   ,3.35   ,1.51
199210   ,2.03   ,1.29   ,6.48   ,4.36   ,3.35   ,2.10
199211  ,-2.53  ,-1.41   ,0.70  ,-2.55  ,-2.68  ,-0.05
199212   ,4.00  ,-1.86   ,5.14  ,-0.31  ,-0.78  ,-1.68
199301  ,-1.39   ,1.85  ,-0.14   ,1.18   ,2.61   ,1.68
199302   ,4.08   ,8.56   ,6.83   ,7.14   ,5.83   ,8.73
199303   ,1.02   ,3.59   ,2.01   ,1.65   ,1.70   ,1.15
199304  ,10.63  ,11.41   ,8.19   ,4.72   ,6.22   ,3.69
199305   ,9.82   ,7.16   ,5.36   ,5.59   ,4.14   ,5.12
199306  ,-2.25  ,-1.55  ,-3.91  ,-3.13  ,-0.54  ,-0.94
199307   ,6.58   ,4.17   ,5.42   ,3.47   ,1.75   ,3.97
199308  ,12.49  ,11.87   ,8.96   ,5.48   ,7.72   ,5.33
199309   ,7.01   ,3.99   ,5.68   ,5.41   ,3.96   ,2.71
199310  ,13.38  ,11.97  ,16.58  ,11.22  ,10.89  ,11.27
199311   ,8.69   ,5.51   ,9.06   ,5.10   ,5.67   ,4.97
199312  ,15.73  ,11.44  ,15.37  ,18.54  ,18.83  ,24.06
199401  ,-3.53  ,-1.26  ,-2.59  ,-2.27  ,-3.63  ,-4.03
199402   ,2.95   ,3.86   ,5.19   ,1.38   ,0.45  ,-0.24
199403  ,-6.24  ,-3.92  ,-5.14  ,-8.47  ,-8.73  ,-9.39
199404   ,2.00  ,-1.48   ,0.77   ,1.82   ,2.40   ,1.36
199405  ,-2.81  ,-0.81  ,-5.44  ,-0.11   ,3.04  ,-0.74
199406   ,0.72   ,0.05   ,0.15   ,0.34  ,-1.68  ,-1.77
199407   ,3.21   ,3.82   ,3.65   ,4.54   ,5.01   ,4.54
199408   ,7.88   ,9.23  ,11.30   ,9.21   ,7.36   ,8.44
199409   ,4.63   ,2.43   ,5.68   ,1.94   ,0.61   ,0.09
199410  ,-0.51   ,2.05  ,-0.35   ,1.09   ,1.09  ,-0.23
199411  ,-2.86  ,-3.74  ,-2.61  ,-3.48  ,-3.79  ,-5.32
199412  ,-1.62   ,1.74   ,1.19  ,-2.70  ,-2.19  ,-2.64
199501  ,-8.68  ,-8.74 ,-11.45 ,-10.95  ,-9.84 ,-12.50
199502   ,4.10   ,3.54   ,0.74   ,1.77   ,0.92   ,2.08
199503  ,-1.99  ,-0.37  ,-0.38   ,1.77   ,0.71   ,0.28
199504  ,-2.87  ,-1.60  ,-1.38  ,-2.38  ,-1.83  ,-3.33
199505   ,4.16   ,4.38   ,0.64   ,3.54   ,6.22   ,5.68
199506  ,-0.19  ,-0.61   ,1.43  ,-0.49  ,-0.92  ,-0.66
199507   ,2.39   ,2.25   ,4.38   ,4.01   ,2.61   ,2.30
199508  ,-3.64  ,-4.35  ,-3.07  ,-4.04  ,-4.98  ,-4.57
199509   ,1.16   ,0.75   ,0.62   ,1.86   ,1.13   ,0.80
199510  ,-1.77  ,-1.43  ,-2.41  ,-2.99  ,-2.20  ,-2.89
199511  ,-2.84  ,-3.53  ,-3.79  ,-5.27  ,-5.20  ,-5.59
199512   ,0.45   ,0.08   ,0.20  ,-0.06   ,1.40   ,2.20
199601   ,5.22   ,6.32   ,9.57   ,4.97   ,3.50   ,4.56
199602  ,-0.60   ,0.95   ,0.26   ,1.50   ,1.95   ,0.83
199603   ,1.85   ,2.21   ,4.73   ,2.51   ,1.75  ,-0.12
199604   ,5.79   ,6.32   ,5.71   ,7.37   ,6.66   ,5.95
199605  ,-1.64  ,-2.83  ,-2.19  ,-3.91  ,-2.30  ,-3.07
199606   ,0.67   ,0.91   ,0.92  ,-1.50  ,-0.47  ,-1.89
199607   ,0.15   ,0.37  ,-2.65  ,-3.32  ,-4.20  ,-3.72
199608   ,1.84   ,2.06   ,1.86   ,0.03   ,0.28   ,0.67
199609   ,3.51   ,3.69   ,3.89  ,-0.89   ,0.41  ,-1.07
199610   ,0.16  ,-0.17   ,1.69  ,-3.11  ,-2.02  ,-1.76
199611   ,2.21   ,1.34   ,1.04   ,0.04   ,0.60   ,0.73
199612  ,-2.62  ,-1.70  ,-0.20  ,-0.55  ,-0.52  ,-1.52
199701   ,6.78   ,6.05   ,7.87   ,6.27   ,6.54   ,5.56
199702   ,5.73   ,4.93   ,4.53   ,3.35   ,2.91   ,3.07
199703   ,0.95   ,0.37   ,0.33  ,-2.99  ,-3.12  ,-3.48
199704   ,0.50   ,0.48  ,-0.97  ,-0.67  ,-0.58  ,-0.06
199705  ,-0.10   ,0.14  ,-0.18   ,1.21   ,0.88  ,-0.99
199706   ,1.96   ,3.23   ,2.15   ,0.18   ,2.08   ,2.65
199707  ,-1.00   ,1.28   ,3.97  ,-1.01  ,-0.16  ,-0.32
199708  ,-7.70  ,-8.78  ,-8.26  ,-9.45 ,-10.64 ,-10.09
199709  ,-3.17  ,-0.88  ,-1.74  ,-0.85  ,-2.62  ,-3.14
199710 ,-13.83 ,-14.75 ,-12.85 ,-18.31 ,-18.66 ,-19.13
199711 ,-13.06 ,-14.42 ,-12.71 ,-16.92 ,-16.64 ,-16.62
199712 ,-14.41 ,-16.04 ,-10.00 ,-14.02 ,-16.26 ,-16.52
199801   ,2.05   ,1.54  ,-0.45   ,6.85   ,8.49   ,9.67
199802  ,21.50  ,20.27  ,15.19  ,17.69  ,20.44  ,22.55
199803  ,11.22   ,9.66   ,9.71   ,6.86   ,6.19   ,5.32
199804  ,-2.50  ,-1.97  ,-0.37  ,-6.30  ,-6.01  ,-7.15
199805  ,-9.67  ,-9.58  ,-5.88 ,-12.63 ,-14.58 ,-13.60
199806 ,-12.62 ,-11.08 ,-11.82 ,-13.23 ,-14.56 ,-15.74
199807   ,5.91   ,5.82   ,0.95   ,3.51   ,5.43   ,3.24
199808 ,-11.20 ,-13.13 ,-14.51 ,-17.03 ,-20.18 ,-19.84
199809   ,4.12   ,5.12   ,8.59   ,7.25   ,6.75   ,8.36
199810  ,13.23  ,10.66   ,6.54   ,8.11   ,8.69   ,8.93
199811  ,23.80  ,22.51  ,23.47  ,15.91  ,16.31  ,13.83
199812   ,2.10   ,3.42  ,-0.57   ,3.67   ,5.33   ,3.01
199901   ,1.70  ,-0.03   ,0.31  ,-1.65  ,-2.16  ,-3.40
199902  ,-1.56  ,-2.53  ,-4.22  ,-1.32  ,-1.95  ,-2.45
199903   ,7.71   ,7.92   ,4.77  ,10.03  ,11.23  ,11.67
199904  ,13.63  ,13.18  ,13.42  ,15.72  ,16.70  ,15.34
199905  ,11.36  ,10.52  ,12.24   ,5.82   ,5.68   ,6.23
199906  ,18.34  ,19.53  ,19.09  ,11.94  ,13.22  ,15.85
199907   ,4.89   ,2.97  ,-1.11   ,1.24   ,0.32  ,-2.10
199908   ,6.51   ,3.51   ,5.80   ,5.99   ,7.45   ,4.61
199909  ,-3.62  ,-4.01  ,-4.30  ,-4.71  ,-5.45  ,-4.57
199910   ,5.34   ,5.17   ,2.94   ,3.75   ,4.95   ,3.77
199911   ,4.74   ,4.98   ,3.06   ,5.02   ,4.39   ,5.76
199912   ,5.55   ,7.66   ,9.19   ,6.39   ,8.24  ,10.95
200001   ,9.00   ,8.15   ,8.75   ,5.15   ,4.43   ,3.98
200002   ,6.80   ,3.43   ,4.81  ,-1.19  ,-0.89   ,0.92
200003   ,5.96   ,5.47   ,4.08   ,0.25  ,-0.99   ,0.09
200004  ,-7.78  ,-7.51  ,-6.75  ,-9.45 ,-10.11 ,-10.60
200005  ,-4.08  ,-4.71  ,-5.44  ,-2.58  ,-2.60  ,-4.91
200006   ,0.41   ,0.69  ,-0.83  ,-0.18   ,0.79   ,1.50
200007  ,-1.96  ,-2.11  ,-5.82  ,-2.52  ,-3.84  ,-6.71
200008   ,4.73   ,2.00   ,1.37  ,-0.32   ,0.79   ,0.32
200009  ,-7.85  ,-7.86  ,-9.32  ,-8.97  ,-9.31 ,-11.61
200010  ,-9.26  ,-7.81  ,-9.13  ,-8.59  ,-9.72 ,-12.44
200011  ,-2.45  ,-3.87  ,-4.43  ,-4.34  ,-5.00  ,-7.67
200012  ,-2.01  ,-4.19  ,-4.89  ,-1.90  ,-0.95  ,-6.38
200101  ,13.04  ,13.04  ,12.50  ,13.16  ,14.84  ,23.77
200102   ,1.44  ,-0.65  ,-2.65  ,-1.27  ,-3.06  ,-5.53
200103  ,-7.02  ,-7.08  ,-7.58  ,-9.75  ,-9.04  ,-9.88
200104   ,0.64   ,0.41   ,1.34   ,2.37   ,2.71   ,3.99
200105   ,4.37   ,4.52   ,3.66   ,3.68   ,2.74   ,0.54
200106   ,1.67   ,0.47  ,-1.58  ,-0.05  ,-1.99  ,-3.80
200107  ,-2.84  ,-3.28  ,-5.67  ,-4.05  ,-3.35  ,-6.60
200108   ,3.32   ,1.30  ,-1.41   ,2.09   ,0.97  ,-3.02
200109 ,-13.22 ,-14.16 ,-15.49 ,-14.24 ,-12.88 ,-16.16
200110   ,5.44   ,7.22   ,8.69   ,6.31   ,4.72   ,9.08
200111   ,9.01  ,11.08  ,12.61  ,11.23  ,12.40  ,14.27
200112   ,3.16   ,4.94   ,4.83   ,5.79   ,5.38   ,6.43
200201   ,7.42   ,7.47   ,4.71   ,6.28   ,6.17   ,3.14
200202   ,0.13   ,1.16  ,-1.95   ,0.52   ,2.68  ,-0.37
200203   ,6.48   ,7.66   ,8.85   ,6.85   ,5.81   ,6.17
200204   ,5.16   ,3.14   ,1.31   ,1.31   ,0.25  ,-2.37
200205   ,2.12   ,0.27  ,-1.21  ,-1.01  ,-0.95  ,-2.15
200206  ,-1.33  ,-2.03  ,-5.91  ,-3.90  ,-4.55  ,-8.71
200207  ,-3.91  ,-3.30  ,-4.48  ,-3.63  ,-3.27  ,-5.15
200208  ,-0.50   ,0.23   ,0.97   ,0.16   ,1.33   ,2.34
200209  ,-9.70  ,-9.96 ,-13.83 ,-11.32  ,-9.67 ,-10.93
200210   ,3.53   ,3.75   ,4.27   ,5.14   ,4.05   ,3.90
200211   ,5.66   ,5.44   ,4.18   ,7.05   ,6.27   ,4.59
200212  ,-1.07  ,-2.37  ,-2.62  ,-1.85  ,-0.27  ,-2.05
200301   ,4.17   ,1.94   ,0.73   ,3.39   ,1.40   ,0.85
200302  ,-1.30  ,-2.29  ,-2.73  ,-2.79  ,-2.02  ,-2.38
200303  ,-4.30  ,-6.09  ,-8.76  ,-3.75  ,-2.47  ,-3.84
200304   ,8.54   ,9.32  ,11.51   ,8.39   ,9.30   ,7.65
200305   ,9.91  ,10.29   ,9.97  ,11.23   ,9.81   ,8.76
200306   ,8.84   ,7.89   ,7.85   ,8.60   ,5.64   ,7.54
200307   ,5.37   ,5.78   ,5.70   ,4.90   ,4.75   ,6.07
200308   ,4.55   ,4.50   ,3.76   ,7.13   ,6.45   ,8.03
200309   ,1.99   ,2.11   ,2.92   ,3.00   ,2.30   ,2.58
200310   ,4.69   ,3.92   ,2.89   ,8.18   ,7.62   ,6.73
200311   ,3.20   ,2.65   ,2.27   ,1.83   ,1.55   ,1.65
200312   ,8.54   ,9.03   ,6.43   ,7.00   ,8.81   ,8.00
200401   ,3.96   ,1.41   ,1.36   ,3.36   ,2.49   ,3.05
200402   ,2.88   ,3.69   ,2.66   ,3.68   ,3.71   ,4.09
200403   ,0.82   ,0.94   ,0.97   ,0.36   ,0.59   ,0.05
200404   ,0.46  ,-0.35  ,-0.89  ,-2.78  ,-2.92  ,-3.16
200405  ,-5.14  ,-4.26  ,-5.50  ,-6.31  ,-5.35  ,-6.34
200406  ,-1.72  ,-0.88  ,-2.27  ,-0.47   ,0.45  ,-0.46
200407   ,0.82   ,0.56  ,-1.43   ,0.91   ,0.81  ,-0.81
200408   ,3.93   ,5.75   ,3.57   ,3.29   ,3.06   ,2.94
200409   ,6.41   ,6.90   ,5.62   ,6.05   ,6.35   ,5.74
200410   ,2.03   ,2.77   ,2.40   ,1.33   ,2.07   ,1.93
200411   ,9.85  ,10.56  ,10.46   ,9.17   ,8.72   ,8.03
200412   ,7.97   ,6.97   ,5.98   ,6.34   ,5.70   ,5.47
200501   ,9.00   ,7.16   ,8.77   ,1.77   ,1.48   ,1.39
200502   ,8.70  ,10.02   ,8.52   ,6.06   ,6.52   ,6.54
200503  ,-2.92  ,-3.23  ,-3.80  ,-4.98  ,-4.20  ,-4.56
200504  ,-1.96  ,-1.36  ,-2.27  ,-4.04  ,-2.92  ,-3.26
200505   ,4.20   ,4.21   ,3.15   ,1.24   ,1.64   ,2.11
200506   ,4.99   ,4.25   ,4.52   ,3.72   ,2.83   ,2.07
200507   ,8.48   ,8.27   ,6.81   ,6.77   ,5.91   ,5.68
200508   ,2.22   ,1.11   ,0.78   ,0.75   ,1.54   ,0.00
200509   ,2.99   ,4.45   ,4.46   ,6.26   ,6.20   ,6.37
200510  ,-2.96  ,-2.09  ,-3.06  ,-4.55  ,-4.40  ,-5.57
200511   ,7.78   ,8.67   ,7.39   ,7.02   ,5.89   ,6.49
200512   ,6.29   ,5.93   ,5.77   ,5.31   ,5.45   ,5.62
200601   ,9.29   ,6.16   ,7.40   ,6.89   ,7.95   ,8.85
200602   ,1.89   ,1.27   ,1.27   ,1.48   ,1.72   ,1.46
200603   ,2.86   ,3.47   ,3.49   ,2.28   ,2.21   ,2.92
200604   ,9.54   ,9.37   ,9.83   ,9.44   ,7.38   ,7.61
200605  ,-6.40  ,-5.97  ,-7.94  ,-8.91  ,-7.93  ,-9.06
200606  ,-5.32  ,-5.34  ,-4.70  ,-3.26  ,-3.78  ,-4.52
200607  ,-0.09   ,0.45  ,-0.60   ,0.98   ,2.15   ,1.80
200608   ,3.38   ,4.53   ,4.40   ,3.40   ,4.03   ,3.73
200609   ,4.22   ,4.08   ,3.70   ,2.98   ,3.23   ,3.55
200610   ,6.53   ,6.53   ,5.28   ,5.74   ,6.09   ,5.37
200611  ,10.30   ,8.04   ,6.96   ,7.15   ,7.09   ,6.75
200612   ,4.58   ,4.26   ,2.54   ,4.17   ,4.32   ,2.94
200701   ,5.06   ,3.59   ,4.01   ,0.43   ,1.16   ,1.18
200702   ,4.45   ,2.71   ,3.20   ,1.67   ,1.35   ,1.44
200703   ,5.46   ,4.60   ,5.74   ,4.60   ,4.49   ,5.02
200704   ,8.01   ,7.80   ,8.17   ,6.80   ,6.73   ,7.01
200705   ,7.97   ,7.64   ,8.06   ,5.68   ,6.40   ,6.62
200706   ,6.57   ,6.19   ,5.96   ,4.55   ,4.72   ,5.16
200707   ,7.22   ,7.02   ,6.25   ,7.20   ,6.11   ,6.92
200708  ,-3.92  ,-5.29  ,-6.60  ,-4.24  ,-4.81  ,-6.28
200709   ,6.69   ,7.38   ,5.42   ,8.24   ,7.59   ,8.53
200710   ,3.26   ,3.11   ,1.96   ,6.49   ,6.44   ,7.70
200711  ,-2.29  ,-3.58  ,-5.73  ,-5.34  ,-6.17  ,-7.14
200712   ,5.23   ,5.74   ,3.75   ,1.80   ,2.62   ,1.83
200801 ,-10.07 ,-10.38 ,-11.28 ,-10.03 ,-11.76 ,-12.84
200802   ,4.59   ,4.68   ,3.95   ,6.10   ,6.39   ,7.13
200803  ,-5.59  ,-5.42  ,-7.11  ,-4.55  ,-5.14  ,-6.26
200804   ,5.06   ,5.20   ,4.04   ,4.17   ,5.39   ,5.31
200805   ,0.03  ,-1.25  ,-1.82  ,-0.58  ,-0.69  ,-1.25
200806  ,-8.33  ,-9.91 ,-10.50 ,-10.33 ,-11.59 ,-12.78
200807  ,-0.62  ,-1.24  ,-1.18  ,-0.60  ,-0.80  ,-1.24
200808  ,-6.07  ,-5.84  ,-8.85  ,-6.12  ,-6.13  ,-6.77
200809 ,-15.02 ,-15.88 ,-17.48 ,-16.02 ,-16.75 ,-18.60
200810 ,-24.38 ,-25.65 ,-29.11 ,-27.25 ,-26.99 ,-32.10
200811  ,-7.19  ,-8.23 ,-10.34  ,-5.38  ,-7.22  ,-9.89
200812   ,9.75   ,9.20  ,10.12  ,11.88  ,10.84  ,10.87
200901  ,-3.33  ,-3.82  ,-4.68  ,-5.79  ,-5.25  ,-4.97
200902  ,-3.72  ,-3.64  ,-4.67  ,-4.56  ,-5.79  ,-5.51
200903  ,10.07  ,11.14  ,11.70  ,13.69  ,14.50  ,15.80
200904  ,19.71  ,19.90  ,22.42  ,20.20  ,20.75  ,25.25
200905  ,21.35  ,21.87  ,23.55  ,19.47  ,21.80  ,26.31
200906   ,0.09  ,-0.06  ,-0.31  ,-0.18   ,0.49  ,-0.10
200907   ,8.74   ,9.30   ,8.73  ,11.75  ,11.11  ,11.25
200908   ,4.95   ,5.24   ,5.25   ,1.33   ,1.97   ,1.32
200909   ,8.20   ,8.85   ,7.85   ,7.20   ,8.72   ,8.10
200910   ,1.06   ,0.57  ,-0.12   ,0.50  ,-0.86  ,-1.22
200911   ,3.61   ,3.33   ,2.71   ,2.29   ,3.13   ,2.68
200912   ,7.00   ,6.97   ,7.47   ,5.78   ,5.07   ,5.63
201001   ,2.71   ,0.88   ,1.32  ,-0.24  ,-2.32  ,-2.11
201002   ,0.82   ,1.55   ,0.21  ,-0.06   ,0.44   ,0.50
201003   ,6.83   ,7.94   ,7.05   ,7.75   ,8.46   ,8.26
201004   ,6.26   ,5.74   ,5.05   ,2.96   ,2.61   ,2.34
201005  ,-9.73  ,-9.10 ,-10.42  ,-9.16  ,-8.80 ,-10.23
201006   ,2.51   ,1.84   ,0.98   ,1.65   ,1.58   ,0.99
201007   ,6.98   ,6.77   ,6.42   ,7.90   ,7.54   ,6.89
201008   ,0.33   ,0.59  ,-0.61   ,1.64   ,0.53  ,-0.21
201009   ,9.65   ,9.07  ,10.02  ,11.68  ,10.99  ,11.56
201010   ,4.09   ,4.65   ,4.05   ,3.59   ,2.96   ,2.78
201011  ,-4.11  ,-4.02  ,-3.80  ,-2.72  ,-2.08  ,-2.74
201012   ,5.35   ,5.52   ,5.00   ,7.10   ,6.24   ,5.73
201101  ,-2.83  ,-1.88  ,-2.69  ,-2.31  ,-2.11  ,-2.82
201102  ,-2.99  ,-2.48  ,-2.84  ,-3.28  ,-3.21  ,-3.04
201103   ,3.07   ,3.68   ,3.18   ,5.30   ,5.61   ,4.82
201104   ,5.61   ,5.39   ,4.35   ,4.37   ,4.48   ,4.49
201105  ,-3.53  ,-3.04  ,-3.53  ,-2.01  ,-1.56  ,-2.32
201106  ,-0.54  ,-0.86  ,-1.39  ,-1.57  ,-0.92  ,-1.25
201107   ,3.52   ,3.28   ,3.05   ,0.63   ,1.57   ,1.44
201108  ,-9.22  ,-9.93 ,-10.90  ,-9.23  ,-9.00 ,-10.76
201109 ,-10.93 ,-11.87 ,-12.82 ,-12.69 ,-13.77 ,-15.49
201110   ,7.17   ,8.08   ,7.83   ,8.98   ,9.79  ,10.40
201111  ,-6.48  ,-7.70  ,-7.67  ,-7.38  ,-7.18  ,-9.03
201112  ,-1.79  ,-1.30  ,-3.08  ,-1.10  ,-1.47  ,-1.84
201201  ,13.10  ,12.33  ,13.40  ,11.90  ,12.13  ,13.93
201202   ,7.93   ,8.68   ,7.99   ,7.91   ,8.04   ,9.10
201203  ,-3.61  ,-2.47  ,-3.39  ,-2.94  ,-2.18  ,-3.01
201204  ,-1.53  ,-1.74  ,-2.43  ,-1.96  ,-1.51  ,-2.33
201205  ,-7.75  ,-8.26 ,-10.12  ,-9.32  ,-8.86  ,-8.60
201206   ,3.42   ,3.23   ,2.84   ,3.51   ,3.80   ,3.09
201207  ,-0.64  ,-0.38  ,-0.64   ,0.46   ,0.88  ,-0.03
201208   ,1.49   ,2.43   ,1.76   ,1.71   ,2.04   ,1.80
201209   ,6.81   ,6.87   ,6.91   ,6.03   ,6.51   ,7.22
201210  ,-0.48  ,-0.59  ,-0.41  ,-1.48  ,-1.17  ,-1.42
201211  ,-0.16   ,0.59   ,0.52   ,1.17   ,1.70   ,1.67
201212   ,2.81   ,3.11   ,2.99   ,5.32   ,4.49   ,4.31
201301   ,3.15   ,2.36   ,2.08   ,2.51   ,1.49   ,2.08
201302  ,-1.70  ,-0.66  ,-1.32  ,-0.48  ,-0.13  ,-0.05
201303  ,-1.36  ,-0.57  ,-1.53  ,-0.11  ,-0.58  ,-0.74
201304   ,2.03   ,2.70   ,1.73   ,1.43   ,1.71   ,1.02
201305   ,0.82   ,0.47  ,-0.73   ,0.82  ,-0.43  ,-1.01
201306  ,-6.77  ,-6.70  ,-7.64  ,-7.18  ,-6.89  ,-7.90
201307   ,0.53   ,1.74   ,0.74   ,0.46   ,1.14   ,1.28
201308  ,-4.34  ,-3.32  ,-3.95  ,-3.25  ,-3.92  ,-4.08
201309   ,8.27   ,7.60   ,7.94   ,7.72   ,6.78   ,6.95
201310   ,4.56   ,4.81   ,4.21   ,3.88   ,4.60   ,3.73
201311  ,-0.56  ,-1.32  ,-1.75  ,-1.74  ,-1.55  ,-1.36
201312   ,2.13   ,1.52   ,1.85   ,0.39  ,-0.03  ,-0.70
201401  ,-0.51  ,-1.55  ,-2.32  ,-4.06  ,-4.08  ,-3.83
201402   ,4.51   ,5.28   ,5.03   ,4.13   ,4.04   ,4.90
201403   ,3.23   ,3.46   ,3.51   ,3.14   ,3.20   ,2.93
201404   ,3.60   ,3.11   ,3.23   ,1.28   ,0.81   ,1.47
201405   ,7.32   ,6.02   ,6.20   ,4.15   ,3.92   ,3.62
201406   ,6.08   ,4.15   ,4.46   ,2.67   ,2.40   ,2.27
201407   ,0.21   ,0.26  ,-0.08   ,1.03   ,1.74   ,0.96
201408   ,2.11   ,2.16   ,1.74   ,1.42   ,1.90   ,1.99
201409  ,-0.41  ,-1.49  ,-1.30  ,-4.10  ,-4.23  ,-3.78
201410  ,-0.97  ,-1.93  ,-0.96  ,-1.57  ,-1.05  ,-1.24
201411  ,-0.93  ,-2.15  ,-1.03  ,-1.11  ,-1.15  ,-1.25
201412  ,-2.74  ,-3.31  ,-3.07  ,-1.82  ,-2.76  ,-2.94
201501   ,2.26   ,2.25   ,1.77   ,1.11   ,0.41   ,0.23
201502   ,2.58   ,3.06   ,2.29   ,2.61   ,2.40   ,2.28
201503  ,-1.67  ,-0.69  ,-1.46  ,-1.74  ,-0.94  ,-1.30
201504   ,7.35   ,7.13   ,6.09   ,5.71   ,6.19   ,6.12
201505  ,-0.30  ,-0.38  ,-1.05  ,-2.72  ,-2.15  ,-2.10
201506  ,-0.76  ,-1.78  ,-2.41  ,-3.19  ,-2.88  ,-2.92
201507  ,-0.75  ,-1.65  ,-1.64  ,-5.61  ,-5.29  ,-5.66
201508  ,-9.02  ,-8.54  ,-9.32  ,-8.68  ,-8.99  ,-9.07
201509   ,1.43   ,1.49   ,1.71  ,-0.09  ,-0.51  ,-0.53
201510   ,6.54   ,6.37   ,6.68   ,5.96   ,5.60   ,6.00
201511  ,-0.17  ,-0.60  ,-0.58  ,-2.70  ,-3.16  ,-2.31
201512   ,2.89   ,1.55   ,1.44  ,-0.34  ,-0.34  ,-0.97
201601  ,-5.59  ,-5.35  ,-5.47  ,-4.95  ,-5.57  ,-5.74
201602  ,-2.30  ,-1.13  ,-1.97   ,0.06  ,-0.04   ,0.08
201603  ,10.56  ,11.15   ,9.63  ,11.14  ,12.24  ,10.73
201604   ,3.92   ,2.97   ,1.99   ,2.21   ,1.66   ,0.68
201605  ,-3.03  ,-2.88  ,-2.68  ,-3.97  ,-3.86  ,-3.43
201606   ,3.85   ,3.73   ,2.91   ,2.90   ,3.02   ,2.85
201607   ,5.19   ,5.01   ,5.04   ,5.38   ,4.62   ,4.02
201608   ,1.35   ,0.96   ,0.12   ,1.06   ,1.40   ,1.01
201609   ,2.14   ,2.53   ,1.95   ,0.29   ,0.96   ,0.61
201610   ,2.18   ,0.71   ,0.70  ,-0.83  ,-1.19  ,-2.47
201611  ,-5.41  ,-5.80  ,-5.60  ,-4.30  ,-4.98  ,-6.39
201612   ,1.30   ,1.50   ,1.84   ,0.50   ,0.65   ,0.89
201701   ,5.93   ,5.90   ,5.36   ,5.81   ,4.10   ,3.64
201702   ,4.12   ,3.88   ,2.99   ,4.45   ,4.35   ,4.92
201703   ,3.39   ,4.49   ,3.32   ,2.71   ,2.80   ,2.03
201704   ,2.77   ,2.55   ,2.01   ,1.37   ,1.68   ,1.52
201705   ,0.09   ,0.60   ,0.51   ,1.92   ,2.53   ,2.60
201706   ,0.59   ,0.97   ,0.24   ,0.33   ,0.01   ,0.32
201707   ,2.71   ,3.03   ,2.48   ,2.65   ,2.86   ,3.41
201708   ,0.02   ,0.08   ,0.10   ,1.33   ,1.07   ,0.92
201709  ,-0.15   ,0.02  ,-0.93  ,-1.17  ,-0.90   ,0.08
201710   ,3.61   ,4.06   ,3.34   ,2.91   ,2.80   ,3.39
201711   ,1.71   ,2.56   ,2.02   ,0.60   ,1.35   ,1.82
201712   ,3.71   ,4.15   ,3.70   ,3.48   ,3.95   ,3.64
201801   ,5.39   ,5.01   ,6.56   ,6.31   ,5.47   ,5.48
201802  ,-2.79  ,-2.73  ,-3.14  ,-4.48  ,-3.38  ,-3.81
201803  ,-1.65  ,-1.61  ,-1.44  ,-1.26  ,-1.44  ,-0.56
